id,priority,status,date_started,date_completed,title,dependencies,description
model-extension-contract-doc,P1,pending,,,Publish one canonical model extension contract,model-runtime-surface-prune,"Write a contributor-facing 'add a new model' contract that defines one constructor path, required config/load/override semantics, and mandatory tests. Remove conflicting guidance and explicitly document factory vs registry responsibilities."
workspace-simplification-triage,P1,done,2026-08-13,2026-08-13,Produce workspace simplification triage,model-runtime-surface-prune,"Completed 2026-08-13: workspace-wide triage captured in `agent_notes/P1-34_WORKSPACE_TRIAGE_AND_SIMPLIFICATION_PLAN.md`, including src/scripts inventories, zero-byte module burden, runtime-core import evidence, and phased cleanup sequence."
runtime-core-boundary-lock,P1,pending,,,Lock runtime-core boundaries and owner modules,workspace-simplification-triage,"Codify the minimal runtime architecture (`src/data`, `src/models`, `src/evaluation`, `scripts/experiments`) and explicitly demote non-runtime scaffolds. Add contributor guidance and guardrails to prevent reintroducing parallel unused module trees."
repo-root-file-governance-audit,P1,pending,,,Audit root-level governance/config files for necessity and organization,runtime-core-boundary-lock,"Audit `.gitignore`, `.pre-commit-config.yaml`, `readthedocs.yaml`, `CONTRIBUTING.md`, `LICENSE`, `Makefile`, `mkdocs.yml`, `pyproject.toml`, `pyrightconfig.json` (and related root artifacts): document purpose, necessity, owner, and keep/remove/relocate decision; propose normalized root layout and update contributor guidance."
python-file-template-disposition,P1,pending,,,Decide disposition of python_file_template.py,repo-root-file-governance-audit,"Determine whether `python_file_template.py` is part of an active scaffolding workflow; if not required, remove it and references. If retained, document explicit generation workflow and ownership."
readme-rewrite,P1,pending,,,Rewrite README for current runtime surfaces,"repo-root-file-governance-audit,scripts-reorg-and-prune","Replace outdated `README.md` with current setup, environment strategy (conda + project venv), canonical entrypoints, model/runtime status, and contributor quickstart. Validate all documented commands against the current repository state."
prune-empty-scaffold-packages,P1,done,2026-08-13,2026-08-13,Prune zero-byte scaffold packages in src,runtime-core-boundary-lock,"Completed 2026-08-13: removed scaffold package files under `src/registry`, `src/training`, and `src/tuning`; pruned zero-byte placeholder modules in `src/experiments/*` (non-runtime subpackages), `src/models/{timegpt,timellm,ts2vec}`, `src/data/versioning/data_versioning.py`, `src/evaluation/{report_generator.py,metrics/clinical.py}`, and `src/models/tsmixer/config.py`. Runtime import-path audit over `src/`, `scripts/`, and `tests/` found no active references to deleted modules; targeted experiments tests passed (42/42)."
scripts-reorg-and-prune,P1,done,2026-08-18,2026-08-18,Reorganize and prune scripts directory,runtime-core-boundary-lock,"Completed 2026-08-18: multi-wave scripts cleanup execution (Wave 1-4) landed and was merged, covering taxonomy realignment, canonical entrypoint rehomes, workflow/runtime migration to `src/workflows`, sweep-wrapper dedup, and legacy quarantine. Canonical consolidated status/handoff note: `agent_notes/P1-37_CANONICAL_HANDOFF_AND_STATUS.md`."
dormant-model-family-disposition,P1,done,2026-08-18,2026-08-18,Decide disposition for dormant model families,runtime-core-boundary-lock,"Completed 2026-08-18: finalized dormant-family disposition. TimeGPT, TimeLLM, and TS2Vec placeholder surfaces were removed under `prune-empty-scaffold-packages`; no runtime references remain. TSMixer is retained with owner rationale as an MLP-family candidate, and implementation follow-up is tracked in `tsmixer-runtime-integration`."
tsmixer-runtime-integration,P1,done,2026-08-18,2026-08-18,Implement retained TSMixer runtime integration,dormant-model-family-disposition,"Completed 2026-08-18: stabilized Darts-backed TSMixer integration by splitting discontinuous timestamp segments before Darts series construction (`src/models/darts_base.py`), preventing NaN-filled series and NaN model weights. Added explicit non-finite forecast guardrails (`src/workflows/forecasting/evaluation.py`) so regression workflows hard-fail on invalid outputs, and adjusted output-dir handling (`src/workflows/forecasting/pipeline.py`) to avoid accidental nested run directories when a run-scoped `--output-dir` is already supplied. Verified with Aleppo 1-epoch IOB/COB smoke (`scripts/workflows/forecasting/tsmixer_iob_cob_regression_smoke.sh`) including checkpoint reload and finite phase-1/phase-2 forecasts."
cleanup-validation-matrix,P1,done,2026-08-20,2026-08-20,Run post-cleanup validation matrix,"prune-empty-scaffold-packages,scripts-reorg-and-prune,dormant-model-family-disposition","Completed 2026-08-20: executed fast matrix (`tests/models`, entrypoint help checks, targeted compile/lint, targeted Pylance diagnostics) and deep lightweight functional runs on a bounded single-patient holdout for canonical scripts. `nocturnal_hypo_eval` and `sliding_window_eval` completed successfully with trained `naive_baseline` checkpoint; `per_patient_finetune` completed successfully on `chronos2` (fine_tune_steps=1) and exposed stage-2 regressions for TTM/TimesFM. Canonical run log: `agent_notes/P1-30_CLEANUP_VALIDATION_MATRIX_KICKOFF.md`."
per-patient-stage2-regression-triage,P1,done,2026-08-20,2026-08-20,Triage and fix per-patient Stage 2 regressions,cleanup-validation-matrix,"Completed 2026-08-20: fixed TTM Stage-2 preprocessor schema handling by failing fast on unsupported legacy checkpoint preprocessors (missing `other_columns_to_scale`) with an actionable retrain message, and fixed TimesFM Stage-2 split/window regressions by ensuring single-patient runs retain training windows and by adding explicit zero-window guardrails. Added/updated targeted regression tests (`test_ttm_preprocessor_schema_contract.py`, `test_timesfm_patient_split.py`, TimesFM config/callback tests) and validated one-patient end-to-end Stage-2 runs with IOB/COB on `brown_2019` holdout patient `bro_92` for both `ttm` and `timesfm` (summary status `OK`)."
pylance-runtime-diagnostics-triage,P1,done,2026-08-20,2026-08-20,Triage runtime-core Pylance diagnostics,cleanup-validation-matrix,"Completed 2026-08-20: resolved runtime-core diagnostics by converting `src.*` imports to package-relative imports in `src/models/darts_base.py` and `src/workflows/forecasting/evaluation.py`, addressed follow-on attribute-access call-site typing in `src/models/darts_base.py` with explicit Darts runtime/model protocols, and aligned the shared `_prepare_training_data` contract in `src/models/base/base_model.py` to support custom backends. Re-ran targeted Pylance diagnostics for `darts_base.py`, `evaluation.py`, `pipeline.py`, and `scripts/evaluation/sliding_window_eval.py` (workspace-path URIs) with zero remaining diagnostics. Validation: targeted pytest (`tests/models/test_darts_base_gap_split.py`, `tests/models/test_tsmixer_darts_wiring.py`, `tests/evaluation/test_forecast_prediction_validation.py`) passed (6 passed, 1 skipped) and targeted `ruff check` passed. Deferred repo-wide diagnostics work is explicitly tracked in `pylance-workspace-diagnostics-sweep`."
repo-design-handbook-ratification,P1,done,2026-08-14,2026-08-14,Ratify repository design handbook,scripts-reorg-and-prune,"Completed 2026-08-14: Phase F governance workstream ratified `docs/architecture/repository-design-handbook.md` decisions (`src/workflows/` top-level package, Python-first orchestrators with thin shell wrappers, and canonical pre-MLflow run-manifest schema). Delivered PR-F1/PR-F2/PR-F3/PR-F2b/PR-F3b/PR-F4, including canonical run-manifest v1 writer (`src/workflows/runtime/manifest.py`) and manifest emission in representative training (`src/workflows/forecasting/pipeline.py`) and evaluation (`scripts/evaluation/nocturnal_hypo_eval.py`) entrypoints."
phase-f-ratification-checklist-plan,P1,done,2026-08-14,2026-08-14,Create Phase F ratification checklist PR plan,,"Completed 2026-08-14: created the Phase F ratification checklist plan (archived at `agent_notes/archive_2026-08-18/p1-37/P1-37_PHASE_F_RATIFICATION_CHECKLIST_PR_PLAN.md`) with PR-F1..PR-F4 sequence, validation gates, and exit criteria."
workflows-package-migration,P1,done,2026-08-14,2026-08-18,Create src/workflows package and migrate pipelines,repo-design-handbook-ratification,"Completed 2026-08-18: `src/workflows/` migration is now fully reflected in maintained runtime surfaces; lingering legacy `scripts/experiments` compatibility wrappers were retired to `scripts/scratch/experiments`, and the long-run checkpoint orchestration surface was moved to `scripts/orchestration/sweeps/chronos2_eval_long_run_checkpoints.sh`."
python-first-orchestration-transition,P1,done,2026-08-14,2026-08-18,Transition sweep orchestration to Python-first,repo-design-handbook-ratification,"Completed 2026-08-18: maintained sweep orchestration now runs through canonical Python-first dispatch (`scripts/orchestration/sweeps/{sweep_train.py,sweep_eval.py}`) plus canonical shell launchers (`scripts/training/sweeps/run_sweep_train.sh`, `scripts/evaluation/sweeps/run_sweep_eval.sh`) and profile-driven model wrappers. Legacy `scripts/experiments` sweep/workflow/eval compatibility shims were removed from the maintained surface and archived under `scripts/scratch/experiments`. Event-detection adapter implementation is explicitly deferred to P4/Fall (`event-detection-orchestration-adapters`)."
holdout-boundary-cleanup,P1,done,2026-08-14,2026-08-14,Complete forecasting workflow boundary cleanup,workflows-package-migration,"Completed 2026-08-14: canonical namespace moved to `src/workflows/forecasting/`; active execution path now uses extracted modeling/evaluation modules (`src/workflows/forecasting/modeling.py`, `src/workflows/forecasting/evaluation.py`); legacy duplicate implementations removed from the orchestrator pipeline; holdout compatibility modules/import surfaces retired."
scripts-taxonomy-contract-ratification,P1,done,2026-08-18,2026-08-18,Ratify scripts taxonomy contract,scripts-reorg-and-prune,"Completed 2026-08-18: finalized and applied role definitions for examples/data_processing/workflows/training/evaluation/orchestration/experiments/analysis/visualization/scratch, and aligned maintained docs/surfaces with the evaluation-vs-experiment boundary."
scripts-surface-rehome-wave1,P1,done,2026-08-18,2026-08-18,Rehome canonical script surfaces for Wave 1,scripts-taxonomy-contract-ratification,Completed 2026-08-18: introduced canonical `scripts/workflows/` single-run entrypoints and canonical `scripts/orchestration/sweeps/` dispatch CLIs; rewired maintained launchers/docs to those canonical paths.
scripts-runtime-migration-wave2,P1,done,2026-08-18,2026-08-18,Migrate heavy runtime scripts into src modules,scripts-surface-rehome-wave1,Completed 2026-08-18: migrated heavy evaluation/workflow logic from legacy `scripts/experiments` surfaces into `src/workflows/*` modules while keeping canonical script entrypoints thin (`scripts/evaluation/*` and `scripts/workflows/personalization/*`).
scripts-legacy-quarantine-wave3,P1,done,2026-08-18,2026-08-18,Quarantine legacy script surfaces,scripts-runtime-migration-wave2,"Completed 2026-08-18: moved all 33 action-matrix entries marked MOVE_TO_SCRATCH into `scripts/scratch/` (analysis, data_processing, experiments, and legacy training/slurm wrappers) and rewired remaining canonical references to quarantined paths where needed (e.g., Chronos2 ctx-ablation eval wrappers)."
scripts-sweep-dedup-wave2b,P1,done,2026-08-18,2026-08-18,Deduplicate remaining sweep wrappers,scripts-surface-rehome-wave1,"Completed 2026-08-18: converged maintained forecast sweep surfaces onto profile-driven generic launchers (`scripts/training/sweeps/run_sweep_train.sh`, `scripts/evaluation/sweeps/run_sweep_eval.sh`) with explicit train/eval specs for model families and DeepAR/PatchTST/TFT context-ablation. Adapter hardening landed for manifest/checkpoint resolution, rerun skip safety, output-dir templates (eval), and DATASETS filtering. By explicit decision, specialized Chronos-2 one-off evaluators (`chronos2_ctx_ablation_eval.sh`, `chronos2_*step*_sweep_eval.sh`) are intentionally retained as specialized scripts for now."
scripts-analysis-visualization-consistency-wave4,P1,done,2026-08-18,2026-08-18,Standardize retained analysis and visualization scripts,scripts-legacy-quarantine-wave3,"Completed 2026-08-18: standardized retained visualization IO contracts, extracted shared helpers to top-level `src/visualization/nocturnal.py`, made quantile settings configurable, replaced model-specific visualizers with model-agnostic surfaces, genericized step-sweep plotters, completed duplication/docstring interpretation pass, committed clean example assets, published MkDocs visualization guide, and aligned retained script naming."
scripts-taxonomy-docs-and-mermaid,P1,done,2026-08-18,2026-08-18,Publish taxonomy docs and flow diagram,scripts-surface-rehome-wave1,"Completed 2026-08-18: updated maintained docs to reflect canonical script taxonomy, profile-spec coverage (`*_forecasting_{train,eval}_sweep.yaml` + `*_ctx_ablation_forecasting_{train,eval}_sweep.yaml`), retained-specialization rationale, and canonical taxonomy flow."
hf-benchmark-packaging,P2,pending,,,Build HF-hostable benchmark,"model-extension-contract-doc,pydantic-config-schemas",Build the HF-hostable benchmark: `datasets` loader for public splits; evaluation script contract; leaderboard-ready output schema; publish a private draft first.
hf-space-leaderboard,P2,pending,,,Create HF Space leaderboard,hf-benchmark-packaging,HF Space that reads leaderboard CSV from a datasets repo; simple table + CD diagram; instructions for benchmark submission.
license-migration,P2,pending,,,Relicense code to Apache-2.0,pii-secrets-audit,Relicense code to Apache-2.0. Update `LICENSE`; `pyproject.toml` classifiers; per-file headers; README license section. Publish a `RELICENSE_NOTES.md` explaining the split: code Apache-2.0 / each dataset under its own upstream license / leaderboard entries CC-BY-4.0 / Gluroo data explicitly off-limits.
public-repo-slim,P2,pending,,,Remove in-progress artifacts from public repo,private-fork-setup,"Remove/relocate anything that makes the public repo look ""in use"": scratch scripts; temp files; in-flight notebook dumps; competition submission CSVs; verify against `.gitignore`."
docs-consolidation,P2,pending,,,Single mkdocs site for four audiences,,Single mkdocs site with four audiences (user; contributor; adapter-author; benchmark-submitter); retire `docs-internal/`; archive exploratory notebooks to a separate research-notebooks repo.
reproducibility-lock,P2,pending,,,Add lockfile and seed policy,,Introduce `uv` (or pip-tools) lockfile; document seed policy; add reproducibility CI job that installs from lockfile and runs smoke tests.
container-per-model,P2,pending,,,Containerize model families,model-extension-contract-doc,Docker/Singularity image per model family + one CPU-baselines image; publish to a container registry; wire into HF Space + local dev.
launcher-abstraction,P3,pending,,,Abstract launcher for Slurm/cloud/local,,Slurm/cloud/local launcher abstraction (Ray; Modal; or custom); Colab-friendly examples.
transformer-version-harmonize,P3,pending,,,Track and collapse transformers versions,,Track upstream `transformers` compatibility; collapse per-model envs when possible.
wandb-mirror,P3,pending,,,Optional W&B mirror for paper artifacts,,Optional W&B mirror for polished reviewer/paper artifacts.
visualization-quantile-default-centralization,P3,done,2026-08-18,2026-08-18,Centralize quantile defaults for visualization helpers,scripts-analysis-visualization-consistency-wave4,"Completed 2026-08-18: added canonical shared defaults in `src/visualization/nocturnal.py` (boxplot quantiles, IQR quantiles, probabilistic inner/outer intervals), wired visualization CLI defaults to shared constants while preserving explicit override flags, and added focused tests validating defaults consistency plus override behavior."
event-detection-orchestration-adapters,P4,pending,,,Implement event-detection sweep adapters (future),python-first-orchestration-transition,Deferred to Fall roadmap: implement non-scaffold train/eval adapters for `task-family=event_detection` / `experiment-type=nocturnal_events` once event-detection models and evaluation protocol exist.
pylance-workspace-diagnostics-sweep,P1,pending,,,Run workspace-wide Pylance diagnostics and triage into fix slices,pylance-runtime-diagnostics-triage,"Follow-on to P1-32: run workspace-wide diagnostics from the canonical workspace root (`/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast`), classify findings by severity/rule/path, and land fixes in focused slices (runtime-critical errors first; warning cleanup second). Seed evidence already observed includes unresolved absolute-import diagnostics and deprecation-use diagnostics outside runtime-core (e.g., `src/data/cache_manager.py`)."
dependency-compatibility-cleanup-pass,P1,done,2026-08-20,2026-08-20,Run compatibility-first dependency cleanup and validation,cleanup-validation-matrix,"Completed 2026-08-20: adopted compatibility-first dependency policy for the active conda-backed `.noctprob-venv` (optimize for working runtime + validation, not strict transitive freeze replay). Rebuilt the venv from `env-in-conda` Python 3.12.13, restored prior package set, then reconciled conflicts by upgrading `datasets` to 5.0.1 (satisfies project dependency floor), removing optional conflicting `babelbetes`/`setuptools-scm` toolchain artifacts that forced incompatible `packaging` resolution with MLflow, and pinning `packaging<26` for MLflow 3.8.x compatibility. Validation: `pip check` clean and focused runtime regression tests passed (`tests/models/test_darts_base_gap_split.py`, `tests/models/test_tsmixer_darts_wiring.py`, `tests/evaluation/test_forecast_prediction_validation.py`: 10 passed)."
model-implementation-quality-standard,P1,pending,,,Standardize model implementation quality contract,"model-adapter-protocol,pydantic-model-family-rollout","Publish and enforce a repository-wide model quality checklist covering public interface consistency, required method/property ordering, dead code removal, OOP design rules, docstring standards, lint cleanliness, and a core cross-family test contract for every supported model implementation."
